area_name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Al Barsha First,14082,14082,14082,14938,14466,13993,11872,6208,11048
Al Barsha South Fifth,12033,11211,10555,9650,8767,7802,7749,7855,8922
Al Barsha South Fourth,9387,9725,9932,8992,7470,6849,7805,8981,9872
Al Barshaa South Second,13041,13041,13041,13041,8329,5382,8040,8712,9372
Al Barshaa South Third,10769,9113,10408,9790,8193,8709,8959,8643,9562
Al Goze Fourth,4237,4237,4237,4237,4237,4562,5562,6086,7084
Al Hebiah First,10877,10915,9253,8664,9084,7064,8045,6970,8144
Al Hebiah Fourth,14420,11250,11354,11028,8245,6904,6463,6811,7028
Al Hebiah Second,12340,12340,12340,12340,8344,6799,8658,6706,7067
Al Jadaf,20026,18254,16823,14841,12726,10738,10749,10898,12206
Al Khairan First,13897,13897,13897,13897,13897,11272,14833,17246,19084
Al Kheeran,14824,15423,12680,11980,9882,9100,10157,11555,12174
Al Kifaf,14447,14447,14447,14447,14447,14447,14447,16105,18147
Al Merkadh,15296,15296,15296,15296,15173,15050,14928,16686,17770
Al Qusais Industrial Fourth,7833,7833,8588,11133,4537,5308,6080,6893,7060
Al Safouh First,14706,16026,13759,13346,9931,8885,9752,10964,11426
Al Safouh Second,22869,22869,22869,22869,22869,22869,22869,24662,22778
Al Thanayah Fourth,8236,8303,8228,7281,6476,6104,8177,9563,10751
Al Thanyah Fifth,12186,12222,12311,10180,8566,7711,8836,10856,11311
Al Thanyah First,26461,22250,20856,29628,28786,27809,12469,10155,10853
Al Thanyah Third,14261,14535,14509,11526,11064,9851,11363,12874,14553
Al Warsan First,7923,7629,7300,6004,5240,4830,4866,5238,5776
Al Wasl,15578,15578,19232,19142,17577,15019,18730,19200,20098
Burj Khalifa,25492,22723,22774,19433,16563,16849,18191,22393,25074
Business Bay,15370,13351,12805,11034,9736,10294,11880,15515,16224
Dubai Investment Park First,14536,14536,10822,7108,3394,9554,1993,1993,1993
Hadaeq Sheikh Mohammed Bin Rashid,9712,9712,9712,9712,9712,9349,12083,15031,17245
Island 2,40088,40088,40088,40088,38576,38141,50545,68374,91413
Jabal Ali First,9189,9063,9222,8341,7634,6632,7068,8225,9002
Jabal Ali Industrial Second,13300,8333,8859,7062,7031,4710,7750,8822,7829
Jumeirah First,22823,22823,22823,22823,19365,21636,20620,27435,30799
Jumeirah Second,116928,116928,116928,116928,116928,116928,116928,116928,116928
Madinat Dubai Almelaheyah,19221,19221,19221,19221,19221,19221,19221,19221,19275
Marsa Dubai,15611,15522,17631,15470,12429,12792,14753,18232,18853
Me'Aisem First,10017,9992,9813,8612,6484,5597,5451,6627,8008
Mirdif,14776,14776,13171,9812,10318,11248,10887,8369,10791
Muhaisanah First,10784,10784,10784,10784,10784,10784,10636,11128,13609
Nad Al Shiba First,12631,12631,12631,9200,8890,9673,11222,12567,13141
Palm Jumeirah,19241,17546,16941,17542,13740,12475,16275,22286,24134
Port Saeed,19897,17741,19905,17371,13961,12050,13293,12518,14444
Rega Al Buteen,11791,10322,10807,8743,7658,9009,6735,7659,7353
Trade Center First,15246,15789,16269,14670,12313,11171,13699,15440,18270
Trade Center Second,14850,14850,16834,16834,16834,16834,16834,16834,16834
Um Hurair Second,28165,26988,21155,17847,14538,9276,17810,14920,23810
Um Suqaim Third,22304,22304,22304,22304,22304,22304,22304,26937,28641
Wadi Al Safa 6,6316,6316,6394,6471,6549,6626,6704,6704,6704
Zaabeel Second,24020,24020,24020,24020,24020,24020,24020,23334,24194
