drugName,review,rating
Cyclosporine,"""i have used restasis for about a year now and have seen almost no progress.  for most of my life i've had red and bothersome eyes. after trying various eye drops, my doctor recommended restasis.  he said it typically takes 3 to 6 months for it to really kick in but it never did kick in.  when i put the drops in it burns my eyes for the first 30 - 40 minutes.  i've talked with my doctor about this and he said it is normal but should go away after some time, but it hasn't. every year around spring time my eyes get terrible irritated  and this year has been the same (maybe even worse than other years) even though i've been using restasis for a year now. the only difference i notice was for the first couple weeks, but now i'm ready to move on.""",2
Etonogestrel,"""my experience has been somewhat mixed. i have been using implanon now for nearly 14 months and have decided to get it removed because i bleed every day, all day. i would occasionally stain my underwear and my sheets. it didn't start out that way, for the first month i didn't bleed at all, then i had an epic two week period, then everything was irregular, which has basically been my new norm, sadly. 

i decided to get rid of the implanon because of the endless bleeding. i should mention that the bleeding was usually pretty light, a bit more than spotting but not quite a period either. other than the endless bleeding, i've been pretty side effect free, except for minor acne.

i didn't get pregnant on it, so yeah! but...blood, a lot of blood.""",7
Implanon,"""this is my second implanon would not recommend at all....first one was okay for the first 2 years until i started bleeding which never stopped when i woke in the morning i would stand up and be absolutely covered in blood it was that bad.....i lost 2 stone in weight my mood swings were all over the place and it affected my relationship. i was advised to have that one removed and another one inserted which i did which i'm into the second year now and it's starting all over again! the only good thing about this is the reliability that your not going to get pregnant if there's ever a chance that you can have a quick fumble in between periods!! it gets me so down i can be off in the morning and on again at night.....so frustrating""",1
Hydroxyzine,"""i recommend taking as prescribed, and the bottle usually says ""take x amount every x hours"". i think that having a steady stream of any medication is the only way to have it work. this medication's only side effect i have found is almost exactly like when one takes benadryl, and only when you are first starting out on it. i am used to it now after 3 weeks and the only effect i notice is that my hands no longer shake and my mind is at ease. much better and smoother than other meds like xanax or tramadol or klonopin, etc., etc. """,10
Dalfampridine,"""i have been on ampyra for 5 days and have been so happy with this new pill. the first 2 days were not good with the side effects, but each day just gets better. i am able to walk better (without dragging my left foot) and get up from a kneeling position without to much effort. this new medicine has given me a new outlook on my future. thank you for this medical wonder!""",9
Tri-Sprintec,"""used for birth control and period issues- very unhappy
worked good for preventing pregnancy, along with terrible side effects
hard time sleeping( if any)
nightmares
anxiety 
depression
the list goes on, everybody is different i recommend trying this pill to see if it's for you, it just wasn't for me. switching back to my old birth control""",2
Suprep Bowel Prep Kit,"""my prep instructions were one 6oz bottle the evening before and one 6oz bottle the morning of the colonoscopy. both times were similar, started working within 20-25 minutes and lasted a couple hours. i mixed with sprite. the review that mentions salty grape cough syrup was spot on. the first bottle wasn't terrible, the second one almost made me puke. compared to other prep experiences i've heard outside of this site i think suprep is probably one of the easier ones, of course everyone reacts different.""",8
Epiduo,"""love it. i had the worst breakouts, so i got epiduo. when i used it the first time it showed results the next day. i continue to use it and i almost don't have a single breakout and i've only been using it for a week. it also helps with redness and acne scars. i love my new skin and you will too.""",9
Escitalopram,"""i felt a positive difference within the first week. i also have generalized anxiety and it seems to have helped with it as well. due to my epilepsy, i take the highest dosage that i can, which is 10mg. i feel better but i think 20 would work great.""",9
Mirena,"""i have been on mirena for over a year now and have experienced some side effects. side effects to watch out for are severe mood swings, hair loss, depression, acne, dizziness, headaches, memory loss, and insomnia.  """,1
